zone,latitude,longitude,Winter,Spring,Summer,Autumn,cluster,k_used
ALCOBAÇA,39.552,-8.977,13.098901098901099,15.19891304347826,18.95978260869565,17.627472527472527,0,4
ALMADA,38.679,-9.157,13.10879120879121,15.964130434782609,21.56413043478261,18.419780219780222,3,4
AMADORA,38.754,-9.231,12.62857142857143,15.402173913043478,20.91304347826087,17.83076923076923,3,4
AVEIRO,40.644,-8.646,11.864835164835165,14.519565217391303,19.055434782608696,17.323076923076925,0,4
BARCELOS,41.532,-8.618,10.98021978021978,14.235869565217392,21.52282608695652,17.16043956043956,1,4
BARREIRO,38.663,-9.072,12.85934065934066,16.26304347826087,22.328260869565216,18.77802197802198,3,4
BRAGA,41.55,-8.42,10.041758241758242,13.340217391304348,21.046739130434784,16.29230769230769,1,4
CASCAIS,38.697,-9.421,13.659340659340659,16.006521739130434,20.867391304347827,18.42087912087912,3,4
COIMBRA,40.206,-8.419,11.479120879120877,14.764130434782608,20.844565217391306,17.38131868131868,0,4
FARO,37.019,-7.927,14.237362637362637,17.071739130434782,24.25,19.59010989010989,2,4
FELGUEIRAS,41.368,-8.194,8.786813186813188,12.515217391304349,21.02173913043478,15.246153846153847,1,4
FIGUEIRA_DA_FOZ,40.151,-8.862,12.317582417582418,14.88695652173913,19.278260869565216,17.415384615384614,0,4
GONDOMAR,41.145,-8.532,11.006593406593407,14.019565217391303,20.82282608695652,16.978021978021978,1,4
GUIMARÃES,41.444,-8.296,10.17032967032967,13.535869565217391,21.41086956521739,16.38241758241758,1,4
LEIRIA,39.744,-8.807,12.365934065934065,15.181521739130435,19.93695652173913,17.683516483516485,0,4
LISBOA,38.717,-9.133,13.089010989010989,15.93913043478261,21.547826086956523,18.406593406593405,3,4
LOULÉ,37.138,-8.02,12.945054945054945,16.375,24.948913043478264,18.83956043956044,2,4
LOURES,38.831,-9.168,13.416483516483517,16.270652173913046,21.622826086956522,18.663736263736265,3,4
MAFRA,38.938,-9.328,12.273626373626374,14.203260869565218,18.246739130434783,16.81098901098901,0,4
MAIA,41.236,-8.62,11.541758241758242,13.958695652173914,19.118478260869566,16.826373626373627,0,4
MATOSINHOS,41.182,-8.689,11.957142857142856,14.433695652173913,19.601086956521737,17.326373626373627,0,4
MOITA,38.651,-8.99,12.484615384615383,16.129347826086956,22.313043478260873,18.62087912087912,3,4
MONTIJO,38.707,-8.974,12.863736263736262,16.230434782608697,22.004347826086956,18.737362637362637,3,4
ODIVELAS,38.793,-9.184,13.142857142857142,15.914130434782608,21.42391304347826,18.341758241758242,3,4
OEIRAS,38.691,-9.311,13.568131868131868,15.916304347826086,20.781521739130437,18.334065934065936,3,4
OLIVEIRA_DE_AZEMÉIS,40.841,-8.476,11.357142857142858,13.918478260869565,20.558695652173913,16.818681318681318,1,4
OVAR,40.859,-8.625,12.283516483516483,14.65108695652174,19.808695652173913,17.614285714285714,0,4
PALMELA,38.569,-8.901,11.693406593406593,15.177173913043477,21.505434782608695,17.60989010989011,3,4
PAREDES,41.205,-8.332,10.35934065934066,13.629347826086958,21.00978260869565,16.51978021978022,1,4
PAÇOS_DE_FERREIRA,41.277,-8.376,9.687912087912089,12.855434782608697,20.16521739130435,15.723076923076922,1,4
PENAFIEL,41.208,-8.283,9.26153846153846,13.036956521739132,21.08804347826087,15.852747252747251,1,4
PORTIMÃO,37.137,-8.538,14.258241758241759,16.69891304347826,23.34891304347826,19.267032967032968,2,4
PORTO,41.15,-8.611,11.48791208791209,13.958695652173914,19.130434782608695,16.847252747252746,0,4
POVOA_DE_VARZIM,41.383,-8.764,11.710989010989012,14.371739130434783,19.84891304347826,17.24065934065934,0,4
SANTARÉM,39.233,-8.683,11.39010989010989,15.396739130434783,21.969565217391306,17.906593406593405,3,4
SANTA_MARIA_DA_FEIRA,40.927,-8.548,11.237362637362638,13.609782608695651,18.856521739130436,16.560439560439562,0,4
SANTO_TIRSO,41.343,-8.477,11.19120879120879,14.242391304347825,21.159782608695654,17.184615384615384,1,4
SEIXAL,38.64,-9.101,12.735164835164836,16.139130434782608,22.202173913043477,18.654945054945053,3,4
SESIMBRA,38.444,-9.101,14.113186813186813,15.204347826086956,19.088043478260868,17.82087912087912,0,4
SETÚBAL,38.524,-8.888,12.90879120879121,16.171739130434784,22.257608695652173,18.675824175824175,3,4
SINTRA,38.801,-9.378,12.264835164835164,14.706521739130435,19.59891304347826,17.203296703296704,0,4
TORRES_VEDRAS,39.091,-9.259,13.134065934065935,15.521739130434783,19.866304347826087,18.045054945054943,0,4
VALONGO,41.189,-8.499,10.826373626373627,13.831521739130435,20.629347826086956,16.795604395604396,1,4
VIANA_DO_CASTELO,41.693,-8.833,12.253846153846153,14.13586956521739,19.003260869565217,17.014285714285712,0,4
VILA_DO_CONDE,41.353,-8.745,11.742857142857142,14.398913043478261,19.869565217391305,17.265934065934065,0,4
VILA_FRANCA_DE_XIRA,38.955,-8.99,12.532967032967033,16.202173913043477,21.82282608695652,18.483516483516482,3,4
VILA_NOVA_DE_FAMALICAO,41.408,-8.52,10.752747252747254,13.97391304347826,21.108695652173914,16.88131868131868,1,4
VILA_NOVA_DE_GAIA,41.124,-8.612,11.164835164835164,13.725,18.96413043478261,16.63736263736264,0,4
VISEU,40.661,-7.91,9.154945054945054,12.90108695652174,21.80108695652174,15.62967032967033,1,4
ÉVORA,38.567,-7.9,11.071428571428571,15.343478260869563,23.566304347826087,17.615384615384617,3,4
